آ	N$آ+SG
سکرهم	N$سکره+SG PRO1SG
سکری	N$سکر+SG YEH#SG COP2SG
سکست	N$سک+SG COP3SG
سکسک	N$سکسک+SG
سکسکانید	N$سکسک+PL COP2PL
سکسکش	N$سکسک+SG PRO3SG
سکن	N$سکن+SG
سکنا	N$سکنا+SG
سکناتت	N$سکنه+PL PRO2SG*سکنات+SG PRO2SG
سکناتست	N$سکنه+PL COP3SG*سکنات+SG COP3SG*سکنا+SG PRO2SG COP3SG
سکناتش	N$سکنه+PL PRO3SG*سکنات+SG PRO3SG
سکناتی	N$سکنه+PL YEH#PL COP2SG*سکنات+SG YEH#SG COP2SG*سکنا+SG PRO2SG YEH#SG PRO2SG COP2SG
سکنت	N$سکن+SG PRO2SG*سکنت+SG
سکنجبین	N$سکنجبین+SG
سکند	N$سک+SG COP3PL
سکندر	N$سکندر+SG
سکندرت	N$سکندر+SG PRO2SG
سکندرش	N$سکندر+SG PRO3SG
سکندرشان	N$سکندر+SG PRO3PL
سکندرم	N$سکندر+SG COP1SG#SG PRO1SG
سکندرند	N$سکندر+SG COP3PL
سکندری	N$سکندر+SG YEH#SG COP2SG
سکنه	N$سکنه+SG
سکنه‌شان	N$سکنه+SG PRO3PL
سکنه‌ی	N$سکنه+SG COP2SG#SG EZ
سکنی	N$سکن+SG YEH#SG COP2SG
سکه	N$سکه+SG
سکها	N$سک+PL
سکه‌ات	N$سکه+SG PRO2SG
سکه‌اش	N$سکه+SG PRO3SG
سکه‌ام	N$سکه+SG COP1SG#SG PRO1SG
سکه‌اند	N$سکه+SG COP3PL
سکه‌ای	N$سکه+SG COP2SG
سکه‌ش	N$سکه+SG PRO3SG
سکه‌ها	N$سکه+PL
سکه‌های	N$سکه+PL EZ#PL COP2SG
سکه‌ی	N$سکه+SG COP2SG#SG EZ
سکوبا	N$سکوبا+SG
سکوبای	N$سکوبا+SG COP2SG#SG EZ
سکوت	N$سکوت+SG*سکو+SG PRO2SG
سکوتست	N$سکوت+SG COP3SG*سکو+SG PRO2SG COP3SG
سکوتش	N$سکوت+SG PRO3SG
سکوتی	N$سکوت+SG YEH#SG COP2SG*سکو+SG PRO2SG YEH#SG PRO2SG COP2SG
سکون	N$سکون+SG
سکونت	N$سکونت+SG*سکون+SG PRO2SG
سکونت‌ها	N$سکونت+PL
سکونست	N$سکون+SG COP3SG
سکونم	N$سکون+SG COP1SG#SG PRO1SG
سکونی	N$سکون+SG YEH#SG COP2SG
سکونیست	N$سکون+SG YEH COP3SG
سکون‌ست	N$سکون+SG COP3SG
سکی	N$سک+SG YEH#SG COP2SG
سکیزه	N$سکیزه+SG
سکین	N$سکین+SG
سکینه	N$سکینه+SG
سکینه‌ای	N$سکینه+SG COP2SG
سگ	N$سگ+SG
سگال	N$سگال+SG
سگالان	N$سگال+PL
سگالت	N$سگال+SG PRO2SG
سگالست	N$سگال+SG COP3SG
سگالش	N$سگال+SG PRO3SG
سگالم	N$سگال+SG COP1SG#SG PRO1SG
سگالند	N$سگال+SG COP3PL
سگاله	N$سگاله+SG
سگالی	N$سگال+SG YEH#SG COP2SG
سگالید	N$سگال+SG COP2PL
سگالیم	N$سگال+SG COP1PL#SG YEH COP1SG
سگان	N$سگ+PL
سگانت	N$سگ+PL PRO2SG
سگانست	N$سگ+PL COP3SG
سگانش	N$سگ+PL PRO3SG
سگانم	N$سگ+PL PRO1SG#PL COP1SG
سگانند	N$سگ+PL COP3PL
سگانی	N$سگ+PL YEH#PL COP2SG
سگان‌شان	N$سگ+PL PRO3PL
سگبان	N$سگبان+SG
سگبانان	N$سگبان+PL
سگبانت	N$سگبان+SG PRO2SG
سگبانش	N$سگبان+SG PRO3SG
سگبانی	N$سگبان+SG YEH#SG COP2SG
سگبانیست	N$سگبان+SG YEH COP3SG
سگت	N$سگ+SG PRO2SG
سگزی	N$سگزی+SG
سگزیان	N$سگزی+PL
سگساران	N$سگساران+SG
سگست	N$سگ+SG COP3SG
سگش	N$سگ+SG PRO3SG
سگشان	N$سگ+SG PRO3PL
سگم	N$سگ+SG COP1SG#SG PRO1SG
سگک	N$سگک+SG
سگکی	N$سگک+SG YEH#SG COP2SG
سگی	N$سگی+SG*سگ+SG YEH#SG COP2SG
سگیت	N$سگی+SG PRO2SG
سگیست	N$سگی+SG COP3SG*سگ+SG YEH COP3SG
سگیش	N$سگی+SG PRO3SG
سگیم	N$سگی+SG COP1SG#SG PRO1SG*سگ+SG COP1PL#SG YEH COP1SG
سگی‌ست	N$سگی+SG COP3SG*سگ+SG YEH COP3SG
سگی‌های	N$سگی+PL EZ#PL COP2SG
سگ‌اند	N$سگ+SG COP3PL
سی	N$سی+SG
سیاح	N$سیاح+SG
سیاحان	N$سیاح+PL
سیاحت	N$سیاحت+SG*سیاح+SG PRO2SG
سیاحی	N$سیاح+SG YEH#SG COP2SG
سیادت	N$سیادت+SG
سیادتی	N$سیادت+SG YEH#SG COP2SG
سیار	N$سیار+SG
سیارات	N$سیارات+SG
سیارم	N$سیار+SG COP1SG#SG PRO1SG
سیارند	N$سیار+SG COP3PL
سیارها	N$سیار+PL
سیاری	N$سیاری+SG*سیار+SG YEH#SG COP2SG
سیاست	N$سیاس+SG PRO2SG*سیاست+SG
سیاستت	N$سیاست+SG PRO2SG
سیاستش	N$سیاست+SG PRO3SG
سیاستم	N$سیاس+SG PRO2SG COP1SG*سیاست+SG COP1SG#SG PRO1SG
سیاستها	N$سیاست+PL
سیاستهای	N$سیاست+PL EZ#PL COP2SG
سیاستی	N$سیاس+SG PRO2SG YEH#SG PRO2SG COP2SG*سیاست+SG YEH#SG COP2SG
سیاست‌های	N$سیاست+PL EZ#PL COP2SG
سیاف	N$سیاف+SG
سیاقت	N$سیاقت+SG*سیاق+SG PRO2SG
سیامک	N$سیامک+SG
سیامی	N$سیامی+SG
سیاه	N$سیاه+SG
سیاهت	N$سیاه+SG PRO2SG
سیاهش	N$سیاه+SG PRO3SG
سیاهشان	N$سیاه+SG PRO3PL
سیاهم	N$سیاه+SG PRO1SG
سیاهه	N$سیاهه+SG
سیاهه‌ای	N$سیاهه+SG COP2SG
سیاهک	N$سیاهک+SG
سیاهی	N$سیاهی+SG
سیاهیتان	N$سیاهی+SG PRO2PL
سیاهیست	N$سیاهی+SG COP3SG
سیاهیش	N$سیاهی+SG PRO3SG
سیاهیم	N$سیاهی+SG COP1SG#SG PRO1SG
سیاهیها	N$سیاهی+PL
سیاهیهای	N$سیاهی+PL EZ#PL COP2SG
سیاهیی	N$سیاهی+SG COP2SG#SG EZ*سیاه+SG YEH
سیاهی‌ها	N$سیاهی+PL
سیاهی‌ی	N$سیاهی+SG COP2SG
سیاه‌بختی	N$سیاه‌بختی+SG
سیاه‌ست	N$سیاه+SG COP3SG
سیاه‌پوش	N$سیاه‌پوش+SG
سیاه‌کاری	N$سیاه‌کاری+SG*سیاه‌کار+SG YEH#SG COP2SG
سیاوخش	N$سیاوخش+SG
سیاوخشی	N$سیاوخش+SG YEH#SG COP2SG
سیاوشان	N$سیاوشان+SG
سیاووش	N$سیاووش+SG
سیاووشان	N$سیاووش+PL
سیاووشش	N$سیاووش+SG PRO3SG
سیاووشی	N$سیاووش+SG YEH#SG COP2SG
سیب	N$سیب+SG
سیبت	N$سیب+SG PRO2SG
سیبست	N$سیب+SG COP3SG
سیبستان	N$سیبستان+SG
سیبش	N$سیب+SG PRO3SG
سیبم	N$سیب+SG COP1SG#SG PRO1SG
سیبها	N$سیب+PL
سیبهای	N$سیب+PL EZ#PL COP2SG
سیبویه	N$سیبویه+SG
سیبکی	N$سیبک+SG YEH#SG COP2SG
سیبی	N$سیب+SG YEH#SG COP2SG
سیبید	N$سیب+SG COP2PL
سیبی‌ست	N$سیب+SG YEH COP3SG
سیت	N$سی+SG PRO2SG
سیتم	N$سی+SG PRO2SG COP1SG
سیخ	N$سیخ+SG
سیخش	N$سیخ+SG PRO3SG
سیخهای	N$سیخ+PL EZ#PL COP2SG
سیخی	N$سیخی+SG*سیخ+SG YEH#SG COP2SG
سیخیست	N$سیخی+SG COP3SG*سیخ+SG YEH COP3SG
سید	N$سید+SG
سیدان	N$سید+PL
سیدتی	N$سید+SG PRO2SG YEH#SG PRO2SG COP2SG
سیدست	N$سید+SG COP3SG
سیدش	N$سید+SG PRO3SG
سیده	N$سیده+SG
سیده‌ی	N$سیده+SG COP2SG#SG EZ
سیدی	N$سید+SG YEH#SG COP2SG*سیدی+SG
سیر	N$سیر+SG
سیرابی	N$سیرابی+SG
سیران	N$سیر+PL*سیران+SG
سیرانش	N$سیر+PL PRO3SG*سیران+SG PRO3SG
سیرانند	N$سیر+PL COP3PL*سیران+SG COP3PL
سیرانی	N$سیر+PL YEH#PL COP2SG*سیران+SG YEH#SG COP2SG
سیرت	N$سیر+SG PRO2SG
سیرتان	N$سیر+SG PRO2PL
سیرتست	N$سیر+SG PRO2SG COP3SG
سیرتم	N$سیر+SG PRO2SG COP1SG
سیرتی	N$سیر+SG PRO2SG YEH#SG PRO2SG COP2SG
سیرتیست	N$سیر+SG PRO2SG YEH COP3SG
سیرست	N$سیر+SG COP3SG
سیرستی	N$سیر+SG COP2SG
سیرش	N$سیر+SG PRO3SG
سیرشان	N$سیر+SG PRO3PL
سیرم	N$سیر+SG COP1SG#SG PRO1SG*سیرم+SG
سیرمان	N$سیر+SG PRO1PL*سیرم+PL
سیرند	N$سیر+SG COP3PL
سیره	N$سیره+SG
سیرها	N$سیر+PL
سیرک	N$سیرک+SG
سیرکی	N$سیرک+SG YEH#SG COP2SG
سیرگاهش	N$سیرگاه+SG PRO3SG
سیری	N$سیر+SG YEH#SG COP2SG
سیریست	N$سیر+SG YEH COP3SG
سیریم	N$سیر+SG COP1PL#SG YEH COP1SG
سیریی	N$سیر+SG YEH COP2SG
سیستان	N$سیستان+SG
سیستانت	N$سیستان+SG PRO2SG
سیستانش	N$سیستان+SG PRO3SG
سیستانی	N$سیستان+SG YEH#SG COP2SG
سیسنبر	N$سیسنبر+SG
سیسنبری	N$سیسنبر+SG YEH#SG COP2SG
سیف	N$سیف+SG
سیفش	N$سیف+SG PRO3SG
سیفی	N$سیف+SG YEH#SG COP2SG
سیف‌های	N$سیف+PL EZ#PL COP2SG
سیل	N$سیل+SG
سیلاب	N$سیلاب+SG
سیلابت	N$سیلاب+SG PRO2SG
سیلابست	N$سیلاب+SG COP3SG
سیلابش	N$سیلاب+SG PRO3SG
سیلابم	N$سیلاب+SG COP1SG#SG PRO1SG
سیلابه	N$سیلابه+SG
سیلابهای	N$سیلاب+PL EZ#PL COP2SG
سیلابی	N$سیلاب+SG YEH#SG COP2SG
سیلان	N$سیلان+SG*سیل+PL
سیلانی	N$سیلان+SG YEH#SG COP2SG*سیل+PL YEH#PL COP2SG
سیلت	N$سیل+SG PRO2SG
سیلست	N$سیل+SG COP3SG
سیلش	N$سیل+SG PRO3SG
سیلشان	N$سیل+SG PRO3PL
سیلم	N$سیل+SG COP1SG#SG PRO1SG
سیلمان	N$سیل+SG PRO1PL
سیلمانی	N$سیل+SG PRO1PL COP2SG#SG PRO1PL YEH
سیلها	N$سیل+PL
سیلهاست	N$سیل+PL COP3SG
سیلهای	N$سیل+PL EZ#PL COP2SG
سیلی	N$سیلی+SG*سیل+SG YEH#SG COP2SG
سیلیت	N$سیلی+SG PRO2SG
سیلیست	N$سیلیس+SG PRO2SG*سیلی+SG COP3SG*سیل+SG YEH COP3SG
سیلیش	N$سیلی+SG PRO3SG
سیلیم	N$سیلی+SG COP1SG#SG PRO1SG*سیل+SG COP1PL#SG YEH COP1SG
سیلیی	N$سیلی+SG COP2SG#SG EZ*سیل+SG YEH COP2SG
سیل‌اند	N$سیل+SG COP3PL
سیل‌بند	N$سیل‌بند+SG
سیل‌ست	N$سیل+SG COP3SG
سیل‌ها	N$سیل+PL
سیل‌های	N$سیل+PL EZ#PL COP2SG
سیم	N$سی+SG COP1SG#SG PRO1SG*سیم+SG
سیما	N$سیما+SG
سیمائی	N$سیما+SG YEH
سیماب	N$سیماب+SG
سیمابست	N$سیماب+SG COP3SG
سیمابم	N$سیماب+SG COP1SG#SG PRO1SG
سیمابی	N$سیماب+SG YEH#SG COP2SG
سیمابیست	N$سیماب+SG YEH COP3SG
سیماب‌ست	N$سیماب+SG COP3SG
سیماست	N$سیما+SG COP3SG
سیماستی	N$سیما+SG COP2SG
سیماش	N$سیما+SG PRO3SG
سیمان	N$سی+SG PRO1PL*سیمان+SG*سیم+PL
سیمای	N$سیما+SG COP2SG#SG EZ
سیمایت	N$سیما+SG PRO2SG
سیمایش	N$سیما+SG PRO3SG
سیمایم	N$سیما+SG PRO1SG#SG COP1PL
سیمایی	N$سیما+SG YEH
سیماییی	N$سیما+SG YEH COP2SG
سیمت	N$سیم+SG PRO2SG
سیمتان	N$سیم+SG PRO2PL
سیمرغ	N$سیمرغ+SG
سیمرغان	N$سیمرغ+PL
سیمرغت	N$سیمرغ+SG PRO2SG
سیمرغست	N$سیمرغ+SG COP3SG
سیمرغش	N$سیمرغ+SG PRO3SG
سیمرغم	N$سیمرغ+SG COP1SG#SG PRO1SG
سیمرغی	N$سیمرغ+SG YEH#SG COP2SG
سیمست	N$سی+SG PRO1SG COP3SG*سیم+SG COP3SG
سیمش	N$سیم+SG PRO3SG
سیمم	N$سی+SG PRO1SG COP1SG*سیم+SG COP1SG#SG PRO1SG
سیمند	N$سی+SG PRO1SG COP3PL*سیم+SG COP3PL
سیمهای	N$سیم+PL EZ#PL COP2SG
سیمی	N$سی+SG PRO1SG COP2SG#SG PRO1SG YEH*سیم+SG YEH#SG COP2SG
سیمیا	N$سیمیا+SG
سیمیاست	N$سیمیا+SG COP3SG
سیمیم	N$سی+SG PRO1SG COP1PL#SG PRO1SG YEH COP1SG*سیم+SG COP1PL#SG YEH COP1SG
سیمین	N$سیمین+SG
سیمینت	N$سیمین+SG PRO2SG
سیمینست	N$سیمین+SG COP3SG
سیمینش	N$سیمین+SG PRO3SG
سیمینم	N$سیمین+SG COP1SG#SG PRO1SG
سیمینه	N$سیمینه+SG
سیمینی	N$سیمین+SG YEH#SG COP2SG
سیم‌ام	N$سی+SG PRO1SG COP1SG*سیم+SG COP1SG
سیم‌اند	N$سی+SG PRO1SG COP3PL*سیم+SG COP3PL
سین	N$سین+SG
سینا	N$سینا+SG
سیناستی	N$سینا+SG COP2SG
سینای	N$سینا+SG COP2SG#SG EZ
سینایی	N$سینا+SG YEH
سیندخت	N$سیندخت+SG
سینست	N$سین+SG COP3SG
سینش	N$سین+SG PRO3SG
سینه	N$سینه+SG
سینها	N$سین+PL
سینهای	N$سین+PL EZ#PL COP2SG
سینه‌ات	N$سینه+SG PRO2SG
سینه‌اش	N$سینه+SG PRO3SG
سینه‌ام	N$سینه+SG COP1SG#SG PRO1SG
سینه‌ای	N$سینه+SG COP2SG
سینه‌ایم	N$سینه+SG COP1PL
سینه‌ت	N$سینه+SG PRO2SG
سینه‌ست	N$سینه+SG COP3SG
سینه‌ش	N$سینه+SG PRO3SG
سینه‌شان	N$سینه+SG PRO3PL
سینه‌ها	N$سینه+PL
سینه‌هاست	N$سینه+PL COP3SG
سینه‌های	N$سینه+PL EZ#PL COP2SG
سینه‌ی	N$سینه+SG COP2SG#SG EZ
سینور	N$سینور+SG
سینک	N$سینک+SG
سینگان	N$سینه+PL
سینی	N$سین+SG YEH#SG COP2SG*سینی+SG
سیهی	N$سیهی+SG
سیهیت	N$سیهی+SG PRO2SG
سیهیم	N$سیهی+SG COP1SG#SG PRO1SG
سیهی‌ست	N$سیهی+SG COP3SG
سیه‌جامه‌اند	N$سیه‌جامه+SG COP3PL
سیکی	N$سیکی+SG
سیکیست	N$سیکی+SG COP3SG
سیکیش	N$سیکی+SG PRO3SG
سیکیی	N$سیکی+SG COP2SG#SG EZ
سیی	N$سی+SG COP2SG#SG EZ
سی‌ام	N$سی+SG COP1SG
شأن	N$شأن+SG
شائبه	N$شائبه+SG
شاب	N$شاب+SG
شاباش	N$شاباش+SG
شابست	N$شاب+SG COP3SG
شابی	N$شاب+SG YEH#SG COP2SG
شات	N$شه+PL
شاخ	N$شاخ+SG
شاخت	N$شاخ+SG PRO2SG
شاخسار	N$شاخسار+SG
شاخساران	N$شاخسار+PL
شاخسارش	N$شاخسار+SG PRO3SG
شاخسارم	N$شاخسار+SG COP1SG#SG PRO1SG
شاخساری	N$شاخسار+SG YEH#SG COP2SG
شاخسارید	N$شاخسار+SG COP2PL
شاخست	N$شاخ+SG COP3SG
شاخش	N$شاخ+SG PRO3SG
شاخص	N$شاخص+SG
شاخم	N$شاخ+SG COP1SG#SG PRO1SG
شاخند	N$شاخ+SG COP3PL
شاخه	N$شاخه+SG
شاخها	N$شاخ+PL
شاخهاش	N$شاخ+PL PRO3SG
شاخهای	N$شاخ+PL EZ#PL COP2SG
شاخه‌ام	N$شاخه+SG COP1SG#SG PRO1SG
شاخه‌ای	N$شاخه+SG COP2SG
شاخه‌ها	N$شاخه+PL
شاخه‌هاش	N$شاخه+PL PRO3SG
شاخه‌های	N$شاخه+PL EZ#PL COP2SG
شاخه‌ی	N$شاخه+SG COP2SG#SG EZ
شاخک	N$شاخک+SG
شاخکی	N$شاخک+SG YEH#SG COP2SG
شاخی	N$شاخی+SG*شاخ+SG YEH#SG COP2SG
شاخیست	N$شاخی+SG COP3SG*شاخ+SG YEH COP3SG
شاخیش	N$شاخی+SG PRO3SG
شاخی‌ست	N$شاخی+SG COP3SG*شاخ+SG YEH COP3SG
شاخ‌ها	N$شاخ+PL
شاخ‌های	N$شاخ+PL EZ#PL COP2SG
شاد	N$شاد+SG
شاداب	N$شاداب+SG
شادابی	N$شاداب+SG YEH#SG COP2SG*شادابی+SG
شادان	N$شادان+SG*شاد+PL
شادانست	N$شادان+SG COP3SG*شاد+PL COP3SG
شادانم	N$شادان+SG COP1SG#SG PRO1SG*شاد+PL PRO1SG#PL COP1SG
شادانند	N$شادان+SG COP3PL*شاد+PL COP3PL
شادانی	N$شادان+SG YEH#SG COP2SG*شاد+PL YEH#PL COP2SG
شادباش	N$شادباش+SG
شادباشی	N$شادباش+SG YEH#SG COP2SG
شادت	N$شاد+SG PRO2SG
شادخوار	N$شادخوار+SG
شادخواران	N$شادخوار+PL
شادخواری	N$شادخواری+SG*شادخوار+SG YEH#SG COP2SG
شادروان	N$شادروان+SG
شادروانی	N$شادروان+SG YEH#SG COP2SG
شادست	N$شاد+SG COP3SG
شادستی	N$شاد+SG COP2SG
شادش	N$شاد+SG PRO3SG
شادم	N$شاد+SG COP1SG#SG PRO1SG
شادمان	N$شاد+SG PRO1PL*شادمان+SG
شادمانان	N$شادمان+PL
شادمانست	N$شاد+SG PRO1PL COP3SG*شادمان+SG COP3SG
شادمانستی	N$شاد+SG PRO1PL COP2SG*شادمان+SG COP2SG
شادمانش	N$شادمان+SG PRO3SG
شادمانم	N$شاد+SG PRO1PL COP1SG*شادمان+SG COP1SG#SG PRO1SG
شادمانند	N$شاد+SG PRO1PL COP3PL*شادمان+SG COP3PL
شادمانی	N$شادمانی+SG*شاد+SG PRO1PL COP2SG#SG PRO1PL YEH*شادمان+SG YEH#SG COP2SG
شادمانیت	N$شادمانی+SG PRO2SG
شادمانیست	N$شادمانی+SG COP3SG*شاد+SG PRO1PL YEH COP3SG*شادمان+SG YEH COP3SG
شادمانیش	N$شادمانی+SG PRO3SG
شادمانیم	N$شادمانی+SG COP1SG#SG PRO1SG*شاد+SG PRO1PL YEH COP1SG#SG PRO1PL COP1PL*شادمان+SG COP1PL#SG YEH COP1SG
شادمانیها	N$شادمانی+PL
شادمانیهاست	N$شادمانی+PL COP3SG
شادمی	N$شاد+SG PRO1SG COP2SG#SG PRO1SG YEH
شادند	N$شاد+SG COP3PL
شادورد	N$شادورد+SG
شادکامی	N$شادکامی+SG
شادی	N$شادی+SG*شاد+SG YEH#SG COP2SG
شادیت	N$شادی+SG PRO2SG
شادیست	N$شادی+SG COP3SG*شاد+SG YEH COP3SG
شادیستی	N$شادی+SG COP2SG*شاد+SG YEH COP2SG
شادیش	N$شادی+SG PRO3SG
شادیم	N$شادی+SG COP1SG#SG PRO1SG*شاد+SG COP1PL#SG YEH COP1SG
شادیند	N$شادی+SG COP3PL*شاد+SG YEH COP3PL
شادیها	N$شادی+PL
شادیهای	N$شادی+PL EZ#PL COP2SG
شادیی	N$شادی+SG COP2SG#SG EZ*شاد+SG YEH COP2SG
شادییم	N$شادی+SG PRO1SG#SG COP1PL*شاد+SG YEH COP1PL
شادی‌ای	N$شادی+SG COP2SG*شاد+SG YEH COP2SG
شادی‌ست	N$شادی+SG COP3SG*شاد+SG YEH COP3SG
شادی‌ها	N$شادی+PL
شادی‌های	N$شادی+PL EZ#PL COP2SG
شار	N$شار+SG
شارب	N$شارب+SG
شارح	N$شارح+SG
شارسان	N$شارسان+SG
شارسانی	N$شارسان+SG YEH#SG COP2SG
شارسان‌ها	N$شارسان+PL
شارستان	N$شارستان+SG
شارستانست	N$شارستان+SG COP3SG
شارستانها	N$شارستان+PL
شارستانهای	N$شارستان+PL EZ#PL COP2SG
شارستانی	N$شارستان+SG YEH#SG COP2SG
شارستان‌شان	N$شارستان+SG PRO3PL
شارع	N$شارع+SG
شارعی	N$شارع+SG YEH#SG COP2SG
شارعیست	N$شارع+SG YEH COP3SG
شارق	N$شارق+SG
شارقان	N$شارق+PL
شاره	N$شاره+SG
شاره‌ای	N$شاره+SG COP2SG
شاره‌ی	N$شاره+SG COP2SG#SG EZ
شارک	N$شارک+SG
شاری	N$شار+SG YEH#SG COP2SG
شاش	N$شاش+SG
شاشه	N$شاشه+SG
شاطر	N$شاطر+SG
شاطران	N$شاطر+PL
شاطری	N$شاطر+SG YEH#SG COP2SG
شاعر	N$شاعر+SG
شاعران	N$شاعر+PL
شاعرانت	N$شاعر+PL PRO2SG
شاعرانش	N$شاعر+PL PRO3SG
شاعرانم	N$شاعر+PL PRO1SG#PL COP1SG
شاعرانی	N$شاعر+PL YEH#PL COP2SG
شاعرت	N$شاعر+SG PRO2SG
شاعرست	N$شاعر+SG COP3SG
شاعرم	N$شاعر+SG COP1SG#SG PRO1SG
شاعره‌ی	N$شاعره+SG COP2SG#SG EZ
شاعری	N$شاعری+SG*شاعر+SG YEH#SG COP2SG
شاعریت	N$شاعری+SG PRO2SG
شاعریست	N$شاعری+SG COP3SG*شاعر+SG YEH COP3SG
شاعریش	N$شاعری+SG PRO3SG
شاعریم	N$شاعری+SG COP1SG#SG PRO1SG*شاعر+SG COP1PL#SG YEH COP1SG
شاف	N$شاف+SG
شافعی	N$شافعی+SG
شافی	N$شاف+SG YEH#SG COP2SG
شال	N$شال+SG
شالها	N$شال+PL
شالهنگست	N$شالهنگ+SG COP3SG
شالوده‌ی	N$شالوده+SG COP2SG#SG EZ
شالی	N$شال+SG YEH#SG COP2SG*شالی+SG
شال‌ها	N$شال+PL
شام	N$شام+SG
شامات	N$شامات+SG*شامه+PL
شاماتم	N$شامات+SG COP1SG#SG PRO1SG*شامه+PL PRO1SG#PL COP1SG
شامان	N$شام+PL
شامت	N$شام+SG PRO2SG
شامست	N$شام+SG COP3SG
شامش	N$شام+SG PRO3SG
شامم	N$شام+SG COP1SG#SG PRO1SG
شامند	N$شام+SG COP3PL
شامه	N$شامه+SG
شامها	N$شام+PL
شامگاه	N$شامگاه+SG
شامگاهان	N$شامگاهان+SG
شامگاهش	N$شامگاه+SG PRO3SG
شامی	N$شام+SG YEH#SG COP2SG*شامی+SG
شامیان	N$شامی+PL
شامیست	N$شام+SG YEH COP3SG*شامی+SG COP3SG
شام‌ام	N$شام+SG COP1SG
شام‌ها	N$شام+PL
شان	N$شان+SG
شانت	N$شان+SG PRO2SG
شانست	N$شانس+SG PRO2SG*شان+SG COP3SG
شانش	N$شان+SG PRO3SG
شانم	N$شان+SG COP1SG#SG PRO1SG
شانه	N$شانه+SG
شانهم	N$شانه+SG PRO1SG
شانه‌ات	N$شانه+SG PRO2SG
شانه‌است	N$شانه+SG COP3SG
شانه‌اش	N$شانه+SG PRO3SG
شانه‌ام	N$شانه+SG COP1SG#SG PRO1SG
شانه‌ای	N$شانه+SG COP2SG
شانه‌ایم	N$شانه+SG COP1PL
شانه‌دان	N$شانه‌دان+SG
شانه‌ست	N$شانه+SG COP3SG
شانه‌ها	N$شانه+PL
شانه‌ی	N$شانه+SG COP2SG#SG EZ
شانه‌یی	N$شانه+SG YEH
شانی	N$شان+SG YEH#SG COP2SG
شانیم	N$شان+SG COP1PL#SG YEH COP1SG
شاه	N$شاه+SG
شاهباز	N$شاهباز+SG
شاهبازان	N$شاهباز+PL
شاهبازانند	N$شاهباز+PL COP3PL
شاهبازی	N$شاهباز+SG YEH#SG COP2SG
شاهبازیم	N$شاهباز+SG COP1PL#SG YEH COP1SG
شاهت	N$شاه+SG PRO2SG
شاهتان	N$شاه+SG PRO2PL
شاهد	N$شاهد+SG
شاهدان	N$شاهد+PL
شاهدانی	N$شاهد+PL YEH#PL COP2SG
شاهدباز	N$شاهدباز+SG
شاهدبازی	N$شاهدباز+SG YEH#SG COP2SG
شاهدت	N$شاهد+SG PRO2SG
شاهدست	N$شاهد+SG COP3SG
شاهدش	N$شاهد+SG PRO3SG
شاهدم	N$شاهد+SG COP1SG#SG PRO1SG
شاهدند	N$شاهد+SG COP3PL
شاهدی	N$شاهد+SG YEH#SG COP2SG
شاهدیست	N$شاهد+SG YEH COP3SG
شاهدیم	N$شاهد+SG COP1PL#SG YEH COP1SG
شاهدی‌ست	N$شاهد+SG YEH COP3SG
شاهرا	N$شاه+SG POSTP
شاهراه	N$شاهراه+SG
شاهرخ	N$شاهرخ+SG
شاهرود	N$شاهرود+SG
شاهزاده	N$شاهزاده+SG
شاهزاده‌ها	N$شاهزاده+PL
شاهزاده‌های	N$شاهزاده+PL EZ#PL COP2SG
شاهزاده‌ی	N$شاهزاده+SG COP2SG#SG EZ
شاهسوار	N$شاهسوار+SG
شاهسواری	N$شاهسوار+SG YEH#SG COP2SG
شاهسپرغم	N$شاهسپرغم+SG
شاهش	N$شاه+SG PRO3SG
شاهشان	N$شاه+SG PRO3PL
شاهم	N$شاه+SG PRO1SG
شاهمان	N$شاه+SG PRO1PL
شاهنامه	N$شاهنامه+SG
شاهنامه‌ها	N$شاهنامه+PL
شاهنشاه	N$شاهنشاه+SG
شاهنشاهم	N$شاهنشاه+SG PRO1SG
شاهنشاهی	N$شاهنشاهی+SG
شاهی	N$شاهی+SG
شاهیت	N$شاهی+SG PRO2SG
شاهیست	N$شاهی+SG COP3SG
شاهیش	N$شاهی+SG PRO3SG
شاهیم	N$شاهی+SG COP1SG#SG PRO1SG
شاهین	N$شاهین+SG
شاهینست	N$شاهین+SG COP3SG
شاهینش	N$شاهین+SG PRO3SG
شاهینم	N$شاهین+SG COP1SG#SG PRO1SG
شاهینند	N$شاهین+SG COP3PL
شاهینی	N$شاهین+SG YEH#SG COP2SG
شاهینیست	N$شاهین+SG YEH COP3SG
شاهیکه	N$شاهی+SG CONJ
شاهیی	N$شاهی+SG COP2SG#SG EZ*شاه+SG YEH
شاهی‌ام	N$شاهی+SG COP1SG
شاهی‌ست	N$شاهی+SG COP3SG
شاهی‌ش	N$شاهی+SG PRO3SG
شاهی‌م	N$شاهی+SG COP1SG#SG PRO1SG
شاه‌ای	N$شاه+SG COP2SG
شاه‌رش	N$شاه‌رش+SG
شاه‌مات	N$شاه‌مات+SG
شاه‌پر	N$شاه‌پر+SG
شاه‌پرست	N$شاه‌پر+SG COP3SG*شاه‌پرست+SG
شاه‌پری	N$شاه‌پر+SG YEH#SG COP2SG
شاه‌پسند	N$شاه‌پسند+SG
شاه‌پیل	N$شاه‌پیل+SG
شاه‌کش	N$شاه‌کش+SG
شاپور	N$شاپور+SG
